team,avg_goals_for,avg_goals_against,win_rate,draw_rate,loss_rate,n_matches,recent_form
Paraguay,1.1111111111111112,1.4074074074074074,0.25925925925925924,0.37037037037037035,0.37037037037037035,27,0.6
Peru,1.2666666666666666,2.066666666666667,0.26666666666666666,0.2,0.5333333333333333,15,0.4
Poland,1.4193548387096775,1.2903225806451613,0.4838709677419355,0.16129032258064516,0.3548387096774194,31,1.0
Portugal,1.6538461538461537,1.1153846153846154,0.5,0.15384615384615385,0.34615384615384615,26,0.8
Romania,1.4285714285714286,1.5238095238095237,0.38095238095238093,0.23809523809523808,0.38095238095238093,21,1.2
Russia,1.4444444444444444,1.4444444444444444,0.2222222222222222,0.2222222222222222,0.5555555555555556,9,0.8
Saudi Arabia,0.6923076923076923,2.4615384615384617,0.15384615384615385,0.15384615384615385,0.6923076923076923,13,0.4
Scotland,1.0869565217391304,1.7826086956521738,0.17391304347826086,0.30434782608695654,0.5217391304347826,23,0.8
Senegal,1.4,1.2,0.4,0.4,0.2,5,1.4
Serbia,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,3,0.6666666666666666
Slovakia,1.25,1.75,0.25,0.25,0.5,4,1.25
Slovenia,0.8333333333333334,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.6666666666666666,6,0.8
South Africa,1.2222222222222223,1.7777777777777777,0.2222222222222222,0.4444444444444444,0.3333333333333333,9,1.2
Soviet Union,1.7096774193548387,1.096774193548387,0.4838709677419355,0.1935483870967742,0.3225806451612903,31,1.8
Spain,1.5593220338983051,1.11864406779661,0.4915254237288136,0.2033898305084746,0.3050847457627119,59,1.6
Sweden,1.608695652173913,1.5,0.34782608695652173,0.2826086956521739,0.3695652173913043,46,0.8
Switzerland,1.3636363636363635,1.7878787878787878,0.3333333333333333,0.18181818181818182,0.48484848484848486,33,1.4
Togo,0.3333333333333333,2.0,0.0,0.0,1.0,3,0.3333333333333333
Tunisia,0.6666666666666666,1.4166666666666667,0.08333333333333333,0.3333333333333333,0.5833333333333334,12,0.8
Turkey,2.0,1.7,0.5,0.1,0.4,10,1.2
USA,1.121212121212121,1.878787878787879,0.24242424242424243,0.18181818181818182,0.5757575757575758,33,1.4
Ukraine,1.0,1.4,0.4,0.2,0.4,5,1.0
Uruguay,1.5686274509803921,1.392156862745098,0.39215686274509803,0.23529411764705882,0.37254901960784315,51,1.4
Wales,0.8,0.8,0.2,0.6,0.2,5,0.8
Yugoslavia,1.6216216216216217,1.2432432432432432,0.43243243243243246,0.21621621621621623,0.35135135135135137,37,1.0
Zaire,0.0,4.666666666666667,0.0,0.0,1.0,3,0.0
"Bosnia and Herzegovina",1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3,1.3333333333333333
"Republic of Ireland",0.7692307692307693,0.7692307692307693,0.15384615384615385,0.6153846153846154,0.23076923076923078,13,1.2
"Serbia and Montenegro",0.6666666666666666,3.3333333333333335,0.0,0.0,1.0,3,0.6666666666666666
"Trinidad and Tobago",0.0,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,3,0.0
"United Arab Emirates",0.6666666666666666,3.6666666666666665,0.0,0.0,1.0,3,0.6666666666666666
